EB Cry ( 3 events) was calibrated to avg: -70, 133, hash: 5532	 Calib: -1.18191	 Error: 0.57735
EB Cry ( 0 events) was calibrated to avg: -70, 178, hash: 5577	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -70, 301, hash: 5700	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -70, 302, hash: 5701	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -70, 303, hash: 5702	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -70, 304, hash: 5703	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -70, 305, hash: 5704	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -69, 241, hash: 6000	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -69, 301, hash: 6060	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -69, 302, hash: 6061	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -69, 303, hash: 6062	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -69, 304, hash: 6063	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -69, 305, hash: 6064	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -68, 301, hash: 6420	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -68, 302, hash: 6421	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -68, 303, hash: 6422	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -68, 304, hash: 6423	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -68, 305, hash: 6424	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -67, 301, hash: 6780	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -67, 302, hash: 6781	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -67, 303, hash: 6782	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -67, 304, hash: 6783	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -67, 305, hash: 6784	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -66, 133, hash: 6972	 Calib: -1	 Error: -1
